,Time(ms),Main(mA),Main Voltage(V),,cpu_loop,crossing,count,indexes
19959,560.7692329883575,727.7673619557286,4.167,,False,23,0,19959
19960,560.7694170475006,668.2631354901484,4.17375,,False,23,0,19960
19961,560.7696199417114,595.9992398443202,4.17725,,False,23,0,19961
19962,560.7698409557343,559.6832583313063,4.17125,,False,23,0,19962
19963,560.7700128555298,671.8211201654099,4.17125,,False,23,0,19963
19964,560.7702379226685,662.1286791534907,4.17,,False,23,0,19964
19965,560.7704410552979,720.0379469715398,4.1682500000000005,,False,23,0,19965
19966,560.7706320285797,757.7035088786183,4.1682500000000005,,False,23,0,19966
19967,560.7708470821381,723.1051751398686,4.173,,False,23,0,19967
19968,560.7710258960724,768.1320846509366,4.1635,,False,23,0,19968
19969,560.7712337970734,893.5203721722208,4.16275,,False,23,0,19969
19970,560.7717111110687,966.8884699586476,4.1615,,False,23,0,19970
19971,560.7719058990479,952.6565312576016,4.158,,False,23,0,19971
19972,560.7719058990479,868.4917903186573,4.17075,,False,23,0,19972
19973,560.7720489501953,685.5623023595233,4.1585,,False,23,0,19973
19974,560.7722268104553,800.8900814886889,4.1777500000000005,,False,23,0,19974
19975,560.7724509239197,617.4698370226223,4.16925,,False,23,0,19975
19976,560.7727267742157,868.9825468255899,4.1545000000000005,,False,23,0,19976
19977,560.7728548049927,961.6128375091218,4.15225,,False,23,0,19977
19978,560.7730247974396,999.8918450498662,4.16225,,False,23,0,19978
19979,560.7732329368591,933.5170274872294,4.168,,False,23,0,19979
19980,560.773432970047,825.1825285818536,4.17,,False,23,0,19980
19981,560.7737050056458,873.3993553879835,4.16075,,False,23,0,19981
19982,560.7738399505615,918.180886645585,4.1777500000000005,,False,23,0,19982
19983,560.7740299701691,622.1320238384822,4.17425,,False,23,0,19983
19984,560.7742328643799,646.6698491851131,4.17875,,False,23,0,19984
19985,560.7744317054749,592.1958769155923,4.17825,,False,23,0,19985
19986,560.7747159004211,611.2126915592313,4.179,,False,23,0,19986
19987,560.7748498916626,595.6311724641207,4.1805,,False,23,0,19987
19988,560.7750289440155,586.0614205789345,4.176,,False,23,0,19988
19989,560.7752327919006,640.4127037217222,4.181,,False,23,0,19989
19990,560.7754347324371,626.794210654342,4.182,,False,23,0,19990
19991,560.7757070064545,516.8647531014352,4.18525,,False,23,0,19991
19992,560.7758188247681,482.5117976161518,4.183,,False,23,0,19992
19993,560.7760388851166,427.9151362198979,4.1842500000000005,,False,23,0,19993
19994,560.7762267589569,428.7739601070299,4.1805,,False,23,0,19994
19995,560.7764317989349,480.42608246168817,4.1875,,False,23,0,19995
19996,560.7766308784485,421.0445451228411,4.194,,False,23,0,19996
19997,560.776871919632,345.2226648017514,4.191,,False,23,0,19997
19998,560.7770388126373,294.0612989540258,4.19625,,False,23,0,19998
19999,560.7772397994995,259.09489783507667,4.19625,,False,23,0,19999
20000,560.7774460315704,263.6343955242034,4.194,,False,23,0,20000
20001,560.777706861496,257.13187180734616,4.19375,,False,23,0,20001
20002,560.7778389453888,262.28481513013867,4.1930000000000005,,False,23,0,20002
20003,560.778039932251,255.53691315981516,4.19375,,False,23,0,20003
20004,560.7782349586487,265.4747324252007,4.1955,,False,23,0,20004
20005,560.7784390449524,257.25456093407934,4.197,,False,23,0,20005
20006,560.7787098884583,262.53019338360497,4.19525,,False,23,0,20006
20007,560.7788319587708,289.3991121381659,4.196,,False,23,0,20007
20008,560.7790470123291,261.54868036973977,4.19325,,False,23,0,20008
20009,560.7792427539825,261.3033021162734,4.1965,,False,23,0,20009
20010,560.7794358730316,255.29153490634883,4.1955,,False,23,0,20010
20011,560.779706954956,270.62767574799324,4.1895,,False,23,0,20011
20012,560.7798297405243,365.0983033325225,4.1825,,False,23,0,20012
20013,560.7800390720367,344.60921916808564,4.196,,False,23,0,20013
20014,560.7802278995514,260.5671673558745,4.1925,,False,23,0,20014
20015,560.7804329395294,259.09489783507667,4.19475,,False,23,0,20015
20016,560.7806317806244,260.935234736074,4.19125,,False,23,0,20016
20017,560.78084897995,300.19575529068356,4.1915,,False,23,0,20017
20018,560.7810168266296,274.7991060569205,4.18975,,False,23,0,20018
20019,560.781240940094,294.79743371442476,4.191,,False,23,0,20019
20020,560.7814478874207,259.58565434200926,4.1925,,False,23,0,20020
20021,560.781641960144,256.5184261736804,4.19325,,False,23,0,20021
20022,560.7818598747253,259.4629652152761,4.19375,,False,23,0,20022
20023,560.7820370197296,261.3033021162734,4.19325,,False,23,0,20023
20024,560.7822258472443,264.4932194113355,4.1935,,False,23,0,20024
20025,560.7824349403381,319.82601556798835,4.19175,,False,23,0,20025
20026,560.7826318740845,276.8848212113841,4.18825,,False,23,0,20026
20027,560.7828528881073,286.82264047676966,4.19275,,False,23,0,20027
20028,560.7830319404602,266.4562454390659,4.19175,,False,23,0,20028
20029,560.7832329273224,311.85122233033326,4.19025,,False,23,0,20029
20030,560.7834589481354,415.89160180004865,4.18625,,False,23,0,20030
20031,560.783637046814,408.5302541960594,4.1835,,False,23,0,20031
20032,560.7838628292084,382.0294028216979,4.1865,,False,23,0,20032
20033,560.7840421199799,370.8646922889808,4.18775,,False,23,0,20033
20034,560.7843418121338,396.50671977621016,4.18525,,False,23,0,20034
20035,560.7844638824463,457.1151483823887,4.1850000000000005,,False,23,0,20035
20036,560.7846298217773,440.5521162734128,4.18025,,False,23,0,20036
20037,560.7848489284515,460.3050656774508,4.18,,False,23,0,20037
20038,560.7850320339203,460.6731330576502,4.184,,False,23,0,20038
20039,560.7852339744568,431.22774264169306,4.18475,,False,23,0,20039
20040,560.7854309082031,440.06135976648017,4.178,,False,23,0,20040
20041,560.785740852356,581.8899902700073,4.17525,,False,23,0,20041
20042,560.7858679294586,634.1555582583313,4.17125,,False,23,0,20042
20043,560.786052942276,704.2110496229628,4.1762500000000005,,False,23,0,20043
