Time(ms),Main(mA),Main Voltage(V),
114.283451795578,274.8283537836975,4.186,
114.28363990783691,254.4597910869863,4.1805,
114.2838180065155,252.74196049810703,4.18225,
114.28402304649352,252.49655612826712,4.18075,
114.28428792953493,254.9505998266661,4.18475,
114.28444504737854,253.11006705286687,4.18475,
114.2846360206604,254.4597910869863,4.184,
114.28482294082642,252.00574738858737,4.18275,
114.2850251197815,252.6192583131871,4.1857500000000005,
114.28528475761414,266.2392008393012,4.1815,
114.28544998168944,269.79756420197964,4.18475,
114.28563594818117,278.6321215162159,4.1845,
114.2858157157898,285.62614605665283,4.1815,
114.28602290153503,265.1348811750217,4.1865,
114.28629088401794,253.9689823473065,4.1845,
114.2864420413971,272.9878210098983,4.18475,
114.28663086891174,257.6500478949049,4.1845,
114.2868230342865,251.26953427906764,4.18475,
114.2870237827301,251.8830452036674,4.18475,
114.28728604316711,261.3311134425033,4.18375,
114.28744387626648,258.2635588195046,4.18175,
114.28763484954834,244.52091410847055,4.1865,
114.28781485557556,231.3917803220362,4.186,
114.28801679611206,227.9561191442777,4.184,
114.28828597068788,251.76034301874745,4.18125,
114.28844380378725,282.4358892487342,4.1835,
114.28864789009094,280.71805865985493,4.1815,
114.28884696960448,282.1904848788943,4.1842500000000005,
114.28902411460876,277.5278018519363,4.1842500000000005,
114.28931784629822,282.926697988414,4.18125,
114.28943991661072,256.66843041554534,4.18625,
114.28963208198547,255.19600419650595,4.18225,
114.2898359298706,253.7235779774666,4.181,
114.29003381729126,277.65050403685626,4.18225,
114.29028582572936,268.5705423527802,4.18175,
114.290442943573,256.17762167586557,4.1842500000000005,
114.29063606262208,258.5089631893445,4.1850000000000005,
114.29083490371704,258.38626100442457,4.1850000000000005,
114.29106092453004,257.52734570998496,4.1805,
114.2913019657135,271.7607991606988,4.18125,
114.2914650440216,265.1348811750217,4.18025,
114.2916419506073,285.5034438717329,4.18075,
114.29182696342468,301.0866213565662,4.1845,
114.29204201698305,286.85316790585233,4.1850000000000005,
114.29228401184082,261.3311134425033,4.1855,
114.29244589805604,259.9813894083839,4.181,
114.2926390171051,259.9813894083839,4.18325,
114.29284000396729,258.5089631893445,4.1815,
114.29303669929504,278.1413127765361,4.1785,
114.29328489303587,318.8784381699585,4.1857500000000005,
114.29343581199646,271.02458605117914,4.18,
114.29363298416138,268.93864890754,4.1835,
114.29383492469788,268.8159467226201,4.18375,
114.2940390110016,273.2332253797382,4.1850000000000005,
114.29428577423096,277.4050996670164,4.1857500000000005,
114.29444003105164,274.21484285909776,4.18125,
114.29464387893675,270.6564794964193,4.184,
114.2948398590088,269.30675546229986,4.18225,
114.29503893852234,269.30675546229986,4.18,
114.29528403282166,282.1904848788943,4.1842500000000005,
114.29543614387512,281.94508050905443,4.1815,
114.2956359386444,293.6017880764494,4.18275,
114.29584002494812,285.0126351320531,4.1857500000000005,
114.29603886604308,267.95703142818047,4.18075,
114.29628586769104,269.79756420197964,4.18175,
114.29644799232484,264.8894768051818,4.18125,
114.2966411113739,286.85316790585233,4.182,
114.29683470726012,308.2033480819231,4.18475,
114.2970359325409,312.0071158144415,4.181,
114.2972857952118,346.97723851662636,4.1795,
114.2974410057068,310.9027961501619,4.18275,
114.2976188659668,277.5278018519363,4.182,
114.29782390594482,268.44784016786025,4.186,
